Gene,UniProt,NAME,Description,Structure_ID,PDB,Structure_source,MW,MOLARITY,Copy_number,Localization,Localization_source,INCLUDE,COLOR,NOTES,model_id
b3861,P32128,yihF,Uncharacterized protein YihF,REP-E03636,E03636_clean-X_clean.pdb,metaTASSER,52636.235,0,,Inner_Membrane,EchoLOCATION predicted,,,,iML1515_v1
b3862,P32129,yihG,Probable acyltransferase YihG,REP-E03637,E03637_clean-X_clean.pdb,metaTASSER,36288.5833,,,Cytosol,EchoLOCATION predicted,,,,iML1515_v1
b3863,P00582,polA,DNA polymerase I,REP-DPO1_ECOLI,DPO1_ECOLI_model1_clean-X_clean.pdb,I-TASSER,103116.8622,1.94E-07,327,Cytosol,EchoLOCATION predicted,x,,,iML1515_v1
b3865,P0A6P7,engB,Probable GTP-binding protein EngB,REP-1pui,1pui-A_clean.pdb,Protein Data Bank,23560.6079,6.72E-07,1133,Cytosol,Heinemann 2016,x,,,iML1515_v1
b3866,P0A8H6,yihI,Der GTPase-activating protein YihI,REP-E03640,E03640_clean-X_clean.pdb,metaTASSER,19059.0027,5.34E-07,900,Cytosol,EchoLOCATION predicted,x,,,iML1515_v1
b3867,P32131,hemN,Oxygen-independent coproporphyrinogen III oxidase,REP-1olt,1olt-A_clean.pdb,Protein Data Bank,52728.4125,6.17E-08,104,Cytosol,iJL1678,x,,,iML1515_v1
b3868,P0AFB8,glnG,Nitrogen regulation protein NR(I),REP-4_467_5m7o.1.A_59ca0ba07f4bf99809fed588,b3868_4_467_5m7o_clean.pdb,SWISS-MODEL,52254.1085,1.10E-07,185,Cytosol,Arbitrary assignment,x,,,iML1515_v1
b3869,P0AFB5,glnL,Nitrogen regulation protein NR(II),REP-5_348_4gcz.1.B_59f1ff6c7aaa0d086b2e166c,b3869_5_348_4gcz_clean.pdb,SWISS-MODEL,38555.6412,3.20E-08,54,Cytosol,EchoLOCATION predicted,x,,,iML1515_v1
b3870,P0A9C5,glnA,Glutamine synthetase,REP-2gls,2gls-A_clean.pdb,Protein Data Bank,51903.1659,1.01E-05,17062,Cytosol,iJL1678,x,,,iML1515_v1
b3871,P32132,typA,GTP-binding protein TypA/BipA,REP-4zcm,4zcm-A_clean.pdb,Protein Data Bank,67354.6553,1.74E-06,2935,Cytosol,EchoLOCATION predicted,x,,,iML1515_v1
b3872,P0ACM9,yihL,Uncharacterized HTH-type transcriptional regulator YihL,REP-4_235_4zs8.1.B_59ca72b8573f20bb1df5088e,b3872_4_235_4zs8_clean.pdb,SWISS-MODEL,26938.4478,,,Cytosol,EchoLOCATION predicted,,,,iML1515_v1
b3873,P32134,yihM,Uncharacterized protein YihM,REP-15_317_3ktc.1.A_59f2a6e7eb80f752f23be577,b3873_15_317_3ktc_clean.pdb,SWISS-MODEL,36941.3869,,,Cytosol,EchoLOCATION predicted,,,,iML1515_v1
b3874,P32135,yihN,Inner membrane protein YihN,REP-E03649,E03649_clean-X_clean.pdb,metaTASSER,46334.7463,,,Outer_Membrane,EchoLOCATION predicted,,,,iML1515_v1
b3875,P76773,ompL,Porin OmpL,REP-22_230_2wjq.1.A_59ca85953d4e1dd725da857c,b3875_22_230_2wjq_clean.pdb,SWISS-MODEL,27199.9382,,,Outer_Membrane,iJL1678,,,,iML1515_v1
b3876,P32136,yihO,Putative sulfoquinovose importer,REP-E03651,E03651_clean-X_clean.pdb,metaTASSER,51573.5775,0,,Inner_Membrane,EchoLOCATION predicted,,,,iML1515_v1
b3877,P32137,yihP,"Putative 2,3-dihydroxypropane-1-sulfonate exporter",REP-E03652,E03652_clean-X_clean.pdb,metaTASSER,50981.5014,0,,Inner_Membrane,EchoLOCATION predicted,,,,iML1515_v1
b3878,P32138,yihQ,Sulfoquinovosidase,REP-5aee,5aee-A_clean.pdb,Protein Data Bank,77274.0604,6.52E-09,11,Cytosol,EchoLOCATION predicted,x,,,iML1515_v1
b3879,P32139,yihR,Uncharacterized protein YihR,REP-8_305_1z45.1.A_59f2ba2bafa3585f4af90d05,b3879_8_305_1z45_clean.pdb,SWISS-MODEL,34009.523,,,Cytosol,EchoLOCATION predicted,,,,iML1515_v1
b3880,P32140,yihS,Sulfoquinovose isomerase,REP-2rgk,2rgk-A_clean.pdb,Protein Data Bank,47432.0598,,,Cytosol,EchoLOCATION predicted,,,,iML1515_v1
b3881,P32141,yihT,Sulfofructosephosphate aldolase,REP-1to3,1to3-A_clean.pdb,Protein Data Bank,31982.6902,,,Cytosol,EchoLOCATION predicted,,,,iML1515_v1
b3882,P0A9V8,yihU,3-sulfolactaldehyde reductase,REP-1_274_3qha.1.A_59fc985fad01f077bfad4a57,b3882_1_274_3qha_clean.pdb,SWISS-MODEL,31157.8234,,,Cytosol,iJL1678,,,,iML1515_v1
b3883,P32143,yihV,Sulfofructose kinase,REP-2_297_2rbc.1.A_59fc9f68573f20434ced6386,b3883_2_297_2rbc_clean.pdb,SWISS-MODEL,31727.2939,,,Cytosol,EchoLOCATION predicted,,,,iML1515_v1
b3884,P32144,yihW,Uncharacterized HTH-type transcriptional regulator YihW,REP-E03659,E03659_clean-X_clean.pdb,metaTASSER,28506.9741,,,Cytosol,EchoLOCATION predicted,,,,iML1515_v1
b3885,P0A8Y3,yihX,Alpha-D-glucose 1-phosphate phosphatase YihX,REP-2b0c,2b0c-A_clean.pdb,Protein Data Bank,22731.5213,3.56E-08,60,Cytosol,EchoLOCATION predicted,x,,,iML1515_v1
b3886,P0A8K8,yihY,UPF0761 membrane protein YihY,REP-E03661,E03661_clean-X_clean.pdb,metaTASSER,32838.4796,,,Cytosol,Arbitrary assignment,,,,iML1515_v1
b3887,P0A6M4,dtd,D-aminoacyl-tRNA deacylase,REP-1jke,1jke-A_clean.pdb,Protein Data Bank,15949.8809,,,Cytosol,EchoLOCATION predicted,,,,iML1515_v1
b3888,P0ADQ2,yiiD,Uncharacterized protein YiiD,REP-E03663,E03663_clean-X_clean.pdb,metaTASSER,37093.8883,5.40E-08,91,Cytosol,EchoLOCATION predicted,x,,,iML1515_v1
b3889,P0ADQ5,yiiE,Uncharacterized protein YiiE,REP-1_72_2k5j.1.B_59cd3006a52be78368aa6927,b3889_1_72_2k5j_clean.pdb,SWISS-MODEL,8407.6363,,,Cytosol,EchoLOCATION predicted,,,,iML1515_v1
b3890,P0AFU6,yiiF,Uncharacterized protein YiiF,REP-2k5j,2k5j-A_clean.pdb,Protein Data Bank,8442.3839,,,Cytosol,EchoLOCATION predicted,,,,iML1515_v1
b3891,P13024,fdhE,Protein FdhE,REP-24_307_2fiy.1.A_59f2ba0eafa3585f4af90b55,b3891_24_307_2fiy_clean.pdb,SWISS-MODEL,34746.3359,8.13E-08,137,Cytosol,Heinemann 2016,x,,,iML1515_v1
b3892,P0AEL0,fdoI,"Formate dehydrogenase, cytochrome b556(fdo) subunit",REP-2_211_1kqf.1.C_59cae495afa3583050d22f9d,b3892_2_211_1kqf_clean.pdb,SWISS-MODEL,24606.0591,1.59843E-06,1,Inner_Membrane,iJL1678,x,,,iML1515_v1
b3893,P0AAJ5,fdoH,Formate dehydrogenase-O iron-sulfur subunit,REP-2_283_1kqf.1.B_59fc8ed7f4763de372b7e18b,b3893_2_283_1kqf_clean.pdb,SWISS-MODEL,33100.0478,2.39765E-05,15,Inner_Membrane,iJL1678,x,,,iML1515_v1
b3894,P32176,fdoG,Formate dehydrogenase-O major subunit,REP-FDOG_ECOLI,FDOG_ECOLI_model1_clean-X_clean.pdb,I-TASSER,,5.67E-07,126,Periplasm,iJL1678,,,,iML1515_v1
b3895,P32177,fdhD,Sulfur carrier protein FdhD,REP-4pde,4pde-A_clean.pdb,Protein Data Bank,30559.6646,,,Cytosol,EchoLOCATION predicted,,,,iML1515_v1
b3896,P32151,yiiG,Uncharacterized protein YiiG,REP-E03671,E03671_clean-X_clean.pdb,metaTASSER,39293.8677,0,,Inner_Membrane,EchoLOCATION predicted,,,,iML1515_v1
b3897,P32152,frvR,Putative frv operon regulatory protein,REP-E03672,E03672_clean-X_clean.pdb,metaTASSER,65998.9233,,,Cytosol,EchoLOCATION predicted,,,,iML1515_v1
b3898,P32153,frvX,Putative aminopeptidase FrvX,REP-2_350_5ds0.1.A_59f1eac93d4e1db50dd31d7e,b3898_2_350_5ds0_clean.pdb,SWISS-MODEL,38732.9807,,,Cytosol,EchoLOCATION predicted,,,,iML1515_v1
b3899,P32154,frvB,Fructose-like PTS system EIIBC component,REP-E03674,E03674_clean-X_clean.pdb,metaTASSER,51119.8343,0,,Inner_Membrane,EchoLOCATION predicted,,,,iML1515_v1
b3900,P32155,frvA,PTS system fructose-like EIIA component,REP-2_145_4gqx.1.A_59cbf742140550a9d91fd518,b3900_2_145_4gqx_clean.pdb,SWISS-MODEL,16093.3228,,,Cytosol,EchoLOCATION predicted,,,,iML1515_v1
b3901,P32156,rhaM,L-rhamnose mutarotase,REP-1x8d,1x8d-A_clean.pdb,Protein Data Bank,12264.7587,,,Cytosol,Arbitrary assignment,,,,iML1515_v1
b3902,P32169,rhaD,Rhamnulose-1-phosphate aldolase,REP-2v9l,2v9l-A_clean.pdb,Protein Data Bank,30145.1376,,,Cytosol,iJL1678,,,,iML1515_v1
b3903,P32170,rhaA,L-rhamnose isomerase,REP-1d8w,1d8w-A_clean.pdb,Protein Data Bank,47198.8751,,,Cytosol,iJL1678,,,,iML1515_v1
b3904,P32171,rhaB,L-Rhamnulokinase,REP-2cgl,2cgl-A_clean.pdb,Protein Data Bank,54068.4265,,,Cytosol,iJL1678,,,,iML1515_v1
b3905,P09377,rhaS,HTH-type transcriptional activator RhaS,REP-25_275_5suw.1.A_59c9f3de7f4bf919ba6af81c,b3905_25_275_5suw_clean.pdb,SWISS-MODEL,32314.9277,,,Cytosol,EchoLOCATION predicted,,,,iML1515_v1
b3906,P09378,rhaR,HTH-type transcriptional activator RhaR,REP-28_280_5suw.1.A_59c9e6e2c730d419e4c7a70b,b3906_28_280_5suw_clean.pdb,SWISS-MODEL,32372.2622,,,Cytosol,EchoLOCATION predicted,,,,iML1515_v1
b3907,P27125,rhaT,L-rhamnose-proton symporter,REP-E03682,E03682_clean-X_clean.pdb,metaTASSER,37319.3743,0,,Inner_Membrane,iJL1678,,,,iML1515_v1
b3908,P00448,sodA,Superoxide dismutase [Mn],REP-1ix9,1ix9-A_clean.pdb,Protein Data Bank,23096.7999,1.40E-05,23526,Cytosol,iJL1678,x,,,iML1515_v1
b3909,P0A712,kdgT,2-keto-3-deoxygluconate permease,REP-E03684,E03684_clean-X_clean.pdb,metaTASSER,33668.8736,0,,Inner_Membrane,iJL1678,,,,iML1515_v1
b3910,P32157,yiiM,Protein YiiM,REP-1o65,1o65-A_clean.pdb,Protein Data Bank,25342.4202,2.25E-08,38,Cytosol,EchoLOCATION predicted,x,,,iML1515_v1
b3911,P0AE82,cpxA,Sensor histidine kinase CpxA,REP-E03686,E03686_clean-X_clean.pdb,metaTASSER,51623.6223,5.27482E-05,33,Inner_Membrane,Heinemann 2016,x,,,iML1515_v1
b3912,P0AE88,cpxR,Transcriptional regulatory protein CpxR,REP-1_230_5ed4.2.A_59ca81f2ad01f085524f21c9,b3912_1_230_5ed4_clean.pdb,SWISS-MODEL,26311.7987,4.24E-07,715,Cytosol,Heinemann 2016,x,,,iML1515_v1
b3915,P69380,fieF,Ferrous-iron efflux pump FieF,REP-2qfi,2qfi-A_clean.pdb,Protein Data Bank,32926.8736,0,,Inner_Membrane,iJL1678,,,,iML1515_v1
b3916,P0A796,pfkA,ATP-dependent 6-phosphofructokinase isozyme 1,REP-1pfk,1pfk-A_clean.pdb,Protein Data Bank,34841.6643,5.39E-07,908,Cytosol,iJL1678,x,,,iML1515_v1
b3917,P0AG78,sbp,Sulfate-binding protein,REP-1sbp,1sbp-A_clean.pdb,Protein Data Bank,36658.8275,2.87E-06,638,Periplasm,iJL1678,,,,iML1515_v1
b3918,P06282,cdh,CDP-diacylglycerol pyrophosphatase,REP-E03692,E03692_clean-X_clean.pdb,metaTASSER,28450.4355,4.15E-09,7,Cytosol,iJL1678,x,,,iML1515_v1
b3919,P0A858,tpiA,Triosephosphate isomerase,REP-1tre,1tre-A_clean.pdb,Protein Data Bank,26971.5025,3.06E-06,5152,Cytosol,iJL1678,x,,,iML1515_v1
b3920,P32160,yiiQ,Uncharacterized protein YiiQ,REP-E03694,E03694_clean-X_clean.pdb,metaTASSER,21762.687,,,Periplasm,EchoLOCATION predicted,,,,iML1515_v1
b3921,P0AF34,yiiR,Uncharacterized protein YiiR,REP-E03695,E03695_clean-X_clean.pdb,metaTASSER,16541.4403,0,,Inner_Membrane,EchoLOCATION predicted,,,,iML1515_v1
b3922,P32162,yiiS,UPF0381 protein YiiS,REP-2k3i,2k3i-A_clean.pdb,Protein Data Bank,10776.111,5.40E-08,91,Cytosol,EchoLOCATION predicted,x,,,iML1515_v1
b3923,P0AAB8,uspD,Universal stress protein D,REP-2_141_1jmv.1.A_59cc04f314055089c7d2c6a9,b3923_2_141_1jmv_clean.pdb,SWISS-MODEL,16292.8496,4.86E-08,82,Cytosol,Heinemann 2016,x,,,iML1515_v1
b3924,P28861,fpr,Ferredoxin--NADP reductase,REP-1fdr,1fdr-A_clean.pdb,Protein Data Bank,27750.6101,5.99E-08,101,Cytosol,iJL1678,x,,,iML1515_v1
b3925,P0A9C9,glpX,"Fructose-1,6-bisphosphatase 1 class 2",REP-3big,3big-A_clean.pdb,Protein Data Bank,35851.9245,1.12E-07,188,Cytosol,iJL1678,x,,,iML1515_v1
b3926,P0A6F3,glpK,Glycerol kinase,REP-1bu6,1bu6-O_clean.pdb,Protein Data Bank,56230.1095,3.03E-06,5104,Cytosol,iJL1678,x,,,iML1515_v1
b3927,P0AER0,glpF,Glycerol uptake facilitator protein,REP-1ldf,1ldf-A_clean.pdb,Protein Data Bank,29779.6309,6.39372E-05,40,Inner_Membrane,iJL1678,x,,,iML1515_v1
b3928,P0AF36,zapB,Cell division protein ZapB,REP-2jee,2jee-A_clean.pdb,Protein Data Bank,9634.7023,4.63E-06,7812,Cytosol,Heinemann 2016,x,,,iML1515_v1
b3929,P0A8R0,rraA,Regulator of ribonuclease activity A,REP-1q5x,1q5x-A_clean.pdb,Protein Data Bank,17360.1521,4.06E-07,684,Cytosol,Heinemann 2016,x,,,iML1515_v1
b3930,P32166,menA,"1,4-dihydroxy-2-naphthoate octaprenyltransferase",REP-10_303_4tq3.1.A_59f2ba09afa3585f4af90b15,b3930_10_303_4tq3_clean.pdb,SWISS-MODEL,33593.5731,0,,Inner_Membrane,iJL1678,,,,iML1515_v1
b3931,P0A6H5,hslU,ATP-dependent protease ATPase subunit HslU,REP-1g4a,1g4a-E_clean.pdb,Protein Data Bank,49593.2273,5.24E-07,883,Cytosol,Heinemann 2016,x,,,iML1515_v1
b3932,P0A7B8,hslV,ATP-dependent protease subunit HslV,REP-5ji3,5ji3-A_clean.pdb,Protein Data Bank,19092.6178,2.41E-07,407,Cytosol,Heinemann 2016,x,,,iML1515_v1
b3933,P29131,ftsN,Cell division protein FtsN,REP-E03707,E03707_clean-X_clean.pdb,metaTASSER,35792.8043,0.000234969,147,Inner_Membrane,Heinemann 2016,x,,,iML1515_v1
b3934,P0ACN7,cytR,HTH-type transcriptional repressor CytR,REP-11_341_1vpw.1.B_59f22ff13d4e1d29eaec438a,b3934_11_341_1vpw_clean.pdb,SWISS-MODEL,37819.3878,3.56E-09,6,Cytosol,EchoLOCATION predicted,x,,,iML1515_v1
b3935,P17888,priA,Primosomal protein N',REP-4nl8,4nl8-A_clean.pdb,Protein Data Bank,81653.9012,,,Cytosol,EchoLOCATION predicted,,,,iML1515_v1
b3936,P0A7M9,rpmE,50S ribosomal protein L31,REP-5nwy,5nwy-L_clean.pdb,Protein Data Bank,7870.9886,6.17E-06,10399,Cytosol,iJL1678,x,,,iML1515_v1
b3937,P32167,yiiX,Uncharacterized protein YiiX,REP-2if6,2if6-A_clean.pdb,Protein Data Bank,23139.3499,,,Periplasm,EchoLOCATION predicted,,,,iML1515_v1
b3938,P0A8U6,metJ,Met repressor,REP-1cmb,1cmb-A_clean.pdb,Protein Data Bank,12140.6128,5.46E-07,921,Cytosol,Heinemann 2016,x,,,iML1515_v1
b3939,P00935,metB,Cystathionine gamma-synthase,REP-1cs1,1cs1-A_clean.pdb,Protein Data Bank,41549.8972,4.25E-07,716,Cytosol,iJL1678,x,,,iML1515_v1
b3940,P00562,metL,Bifunctional aspartokinase/homoserine dehydrogenase 2,REP-AK2H_ECOLI,AK2H_ECOLI_model1_clean-X_clean.pdb,I-TASSER,88886.5957,1.30E-07,220,Cytosol,iJL1678,x,,,iML1515_v1
b3941,P0AEZ1,metF,"5,10-methylenetetrahydrofolate reductase",REP-3fst,3fst-A_clean.pdb,Protein Data Bank,33102.3431,1.99E-06,3354,Cytosol,iJL1678,x,,,iML1515_v1
b3942,P13029,katG,Catalase-peroxidase,REP-12_725_5cjh.1.A_59cbc8667aaa0d76a08777ea,b3942_12_725_5cjh_clean.pdb,SWISS-MODEL,80022.7992,8.71E-07,1468,Cytosol,iJL1678,x,,,iML1515_v1
b3943,P0ABT8,yijE,Probable cystine transporter YijE,REP-9_294_5i20.1.A_59fc8e6ff4763dcece331d4e,b3943_9_294_5i20_clean.pdb,SWISS-MODEL,32865.1507,0,,Inner_Membrane,EchoLOCATION predicted,,,,iML1515_v1
b3944,P32668,yijF,Uncharacterized protein YijF,REP-E03718,E03718_clean-X_clean.pdb,metaTASSER,22954.7469,,,Periplasm,EchoLOCATION predicted,,,,iML1515_v1
b3945,P0A9S5,gldA,Glycerol dehydrogenase,REP-1_363_5xn8.1.A_59f2293cad01f0b4e09c4145,b3945_1_363_5xn8_clean.pdb,SWISS-MODEL,38711.7471,3.32E-08,56,Cytosol,iJL1678,x,,,iML1515_v1
b3946,P32669,fsaB,Fructose-6-phosphate aldolase 2,REP-1_220_1l6w.1.A_59cab9a6c730d491ab47bb5b,b3946_1_220_1l6w_clean.pdb,SWISS-MODEL,23554.9463,5.93E-10,1,Cytosol,iJL1678,x,,,iML1515_v1
b3947,P32670,ptsA,Multiphosphoryl transfer protein 2,REP-PTFX2_ECOLI,PTFX2_ECOLI_model1_clean-X_clean.pdb,I-TASSER,91772.5844,,,Cytosol,EchoLOCATION predicted,,,,iML1515_v1
b3949,P32672,frwC,Fructose-like permease IIC component 2,REP-E03722,E03722_clean-X_clean.pdb,metaTASSER,37085.9205,0,,Inner_Membrane,EchoLOCATION predicted,,,,iML1515_v1
b3950,P69816,frwB,PTS system fructose-like EIIB component 2,REP-2_100_5dle.1.A_59cc82edad01f07d8f007d1c,b3950_2_100_5dle_clean.pdb,SWISS-MODEL,11247.841,,,Cytosol,EchoLOCATION predicted,,,,iML1515_v1
b3951,P32674,pflD,Formate acetyltransferase 2,REP-2_761_5i2a.1.A_59cbf84e14055028d4c54ed7,b3951_2_761_5i2a_clean.pdb,SWISS-MODEL,85958.7332,,,Cytosol,iJL1678,,,,iML1515_v1
b3952,P32675,pflC,Pyruvate formate-lyase 2-activating enzyme,REP-22_289_3cb8.1.A_59fcb5b4eb80f7bff742b507,b3952_22_289_3cb8_clean.pdb,SWISS-MODEL,32429.3119,2.97E-09,5,Cytosol,iJL1678,x,,,iML1515_v1
b3953,P32676,frwD,PTS system fructose-like EIIB component 3,REP-4tn5,4tn5-A_clean.pdb,Protein Data Bank,12636.5108,,,Cytosol,EchoLOCATION predicted,,,,iML1515_v1
b3954,P32677,yijO,Uncharacterized HTH-type transcriptional regulator YijO,REP-E03727,E03727_clean-X_clean.pdb,metaTASSER,32148.9937,,,Cytosol,EchoLOCATION predicted,,,,iML1515_v1
b3955,P0CB39,eptC,Phosphoethanolamine transferase EptC,REP-E03728,E03728_clean-X_clean.pdb,metaTASSER,66609.0241,3.99608E-05,25,Inner_Membrane,Heinemann 2016,x,,,iML1515_v1
b3956,P00864,ppc,Phosphoenolpyruvate carboxylase,REP-1jqn,1jqn-A_clean.pdb,Protein Data Bank,99061.4335,1.21E-06,2042,Cytosol,iJL1678,x,,,iML1515_v1
b3957,P23908,argE,Acetylornithine deacetylase,REP-6_382_2qyv.1.A_59f24821eb80f79e66127b35,b3957_6_382_2qyv_clean.pdb,SWISS-MODEL,42346.8451,1.17E-06,1979,Cytosol,iJL1678,x,,,iML1515_v1
b3958,P11446,argC,N-acetyl-gamma-glutamyl-phosphate reductase,REP-3dr3,3dr3-A_clean.pdb,Protein Data Bank,35951.6921,8.02E-07,1352,Cytosol,iJL1678,x,,,iML1515_v1
b3959,P0A6C8,argB,Acetylglutamate kinase,REP-1gs5,1gs5-A_clean.pdb,Protein Data Bank,27159.2235,3.13E-06,5283,Cytosol,iJL1678,x,,,iML1515_v1
b3960,P11447,argH,Argininosuccinate lyase,REP-1tj7,1tj7-A_clean.pdb,Protein Data Bank,50317.6366,1.51E-06,2554,Cytosol,iJL1678,x,,,iML1515_v1
b3961,P0ACQ4,oxyR,Hydrogen peroxide-inducible genes activator,REP-1_291_4x6g.1.A_59f2cba43d4e1dca731f37db,b3961_1_291_4x6g_clean.pdb,SWISS-MODEL,34275.5646,1.58E-07,266,Cytosol,EchoLOCATION predicted,x,,,iML1515_v1
b3962,P27306,sthA,Soluble pyridine nucleotide transhydrogenase,REP-6_462_5u8u.1.A_59ca0033a52be71c5fa97d4a,b3962_6_462_5u8u_clean.pdb,SWISS-MODEL,51559.8032,2.17E-07,366,Cytosol,iJL1678,x,,,iML1515_v1
b3963,P0ACU5,fabR,HTH-type transcriptional repressor FabR,REP-20_220_3lsj.1.A_59ca7a83a52be77551160894,b3963_20_220_3lsj_clean.pdb,SWISS-MODEL,26553.0172,8.90E-09,15,Cytosol,EchoLOCATION predicted,x,,,iML1515_v1
b3964,P0AF40,yijD,Inner membrane protein YijD,REP-E03737,E03737_clean-X_clean.pdb,metaTASSER,13023.3549,0,,Inner_Membrane,EchoLOCATION predicted,,,,iML1515_v1
b3965,P23003,trmA,tRNA/tmRNA (uracil-C(5))-methyltransferase,REP-3bt7,3bt7-A_clean.pdb,Protein Data Bank,41966.4755,8.07E-08,136,Cytosol,iJL1678,x,,,iML1515_v1
b3966,P06129,btuB,Vitamin B12 transporter BtuB,REP-2guf,2guf-A_clean.pdb,Protein Data Bank,68406.2387,,685,Outer_Membrane,iJL1678,,,,iML1515_v1
b3967,P22634,murI,Glutamate racemase,REP-20_285_2jfn.1.A_59c9dc11ad01f0b421064f90,b3967_20_285_2jfn_clean.pdb,SWISS-MODEL,31001.5805,4.21E-08,71,Cytosol,iJL1678,x,,,iML1515_v1
b3972,P08373,murB,UDP-N-acetylenolpyruvoylglucosamine reductase,REP-1mbb,1mbb-A_clean.pdb,Protein Data Bank,37850.5691,3.32E-08,56,Cytosol,iJL1678,x,,,iML1515_v1
b3973,P06709,birA,Bifunctional ligase/repressor BirA,REP-1bia,1bia-A_clean.pdb,Protein Data Bank,35311.5637,8.90E-09,15,Cytosol,EchoLOCATION predicted,x,,,iML1515_v1
b3974,P0A6I3,coaA,Pantothenate kinase,REP-1esm,1esm-A_clean.pdb,Protein Data Bank,36359.3127,1.65E-07,278,Cytosol,iJL1678,x,,,iML1515_v1
b3980,P0CE48,tufB,Elongation factor Tu 2,REP-1dg1,1dg1-G_clean.pdb,Protein Data Bank,43313.0656,,,Cytosol,iJL1678,,,,iML1515_v1
b3981,P0AG96,secE,Protein translocase subunit SecE,REP-2akh,2akh-C_clean.pdb,Protein Data Bank,13643.2425,0.000182221,114,Inner_Membrane,iJL1678,x,,,iML1515_v1
b3982,P0AFG0,nusG,Transcription termination/antitermination protein NusG,REP-5ms0,5ms0-F_clean.pdb,Protein Data Bank,20531.275,2.85E-06,4808,Cytosol,iJL1678,x,,,iML1515_v1
b3983,P0A7J7,rplK,50S ribosomal protein L11,REP-5afi,5afi-I_clean.pdb,Protein Data Bank,14875.2148,1.15E-05,19411,Cytosol,iJL1678,x,,,iML1515_v1
b3984,P0A7L0,rplA,50S ribosomal protein L1,REP-3jcd,3jcd-5_clean.pdb,Protein Data Bank,24729.3419,1.86E-05,31337,Cytosol,iJL1678,x,,,iML1515_v1
b3985,P0A7J3,rplJ,50S ribosomal protein L10,REP-3j7z,3j7z-5_clean.pdb,Protein Data Bank,17711.386,2.37E-05,39955,Cytosol,iJL1678,x,,,iML1515_v1
b3986,P0A7K2,rplL,50S ribosomal protein L7/L12,REP-1rqu,1rqu-A_clean.pdb,Protein Data Bank,12295.0526,3.10E-05,52211,Cytosol,iJL1678,x,,,iML1515_v1
b3987,P0A8V2,rpoB,DNA-directed RNA polymerase subunit beta,REP-5uag,5uag-C_clean.pdb,Protein Data Bank,150630.5506,1.69E-06,2849,Cytosol,iJL1678,x,,,iML1515_v1
b3988,P0A8T7,rpoC,DNA-directed RNA polymerase subunit beta',REP-5uag,5uag-D_clean.pdb,Protein Data Bank,155158.4333,1.35E-06,2270,Cytosol,iJL1678,x,,,iML1515_v1
b3989,P27375,htrC,Heat shock protein C,REP-E03753,E03753_clean-X_clean.pdb,metaTASSER,21130.7929,,,Cytosol,EchoLOCATION predicted,,,,iML1515_v1
b3990,P30140,thiH,2-iminoacetate synthase,REP-28_377_4wcx.1.A_59f22e453d4e1ddaa35f518b,b3990_28_377_4wcx_clean.pdb,SWISS-MODEL,43319.6251,,,Cytosol,iJL1678,,,,iML1515_v1
b3991,P30139,thiG,Thiazole synthase,REP-1_249_1xm3.1.A_59caccea573f20b7df771d8a,b3991_1_249_1xm3_clean.pdb,SWISS-MODEL,26895.7856,,,Cytosol,iJL1678,,,,iML1515_v1
b3992,P30138,thiF,Sulfur carrier protein ThiS adenylyltransferase,REP-1zud,1zud-1_clean.pdb,Protein Data Bank,26969.4899,,,Cytosol,iJL1678,,,,iML1515_v1
b3993,P30137,thiE,Thiamine-phosphate synthase,REP-6_208_3nm1.1.A_59cae0f0afa35840f2411a7a,b3993_6_208_3nm1_clean.pdb,SWISS-MODEL,23014.9878,,,Cytosol,iJL1678,,,,iML1515_v1
b3994,P30136,thiC,Phosphomethylpyrimidine synthase,REP-23_629_4s2a.1.A_59cb5c61c730d41d209cc5bc,b3994_23_629_4s2a_clean.pdb,SWISS-MODEL,70849.5592,,,Cytosol,iJL1678,,,,iML1515_v1
b3995,P0AFX4,rsd,Regulator of sigma D,REP-2p7v,2p7v-A_clean.pdb,Protein Data Bank,18242.6201,1.22E-07,205,Cytosol,Heinemann 2016,x,,,iML1515_v1
b3996,P32664,nudC,NADH pyrophosphatase,REP-1vk6,1vk6-A_clean.pdb,Protein Data Bank,29688.6063,2.53E-07,426,Cytosol,iJL1678,x,,,iML1515_v1
b3997,P29680,hemE,Uroporphyrinogen decarboxylase,REP-3cyv,3cyv-A_clean.pdb,Protein Data Bank,39247.6756,1.19E-08,20,Cytosol,iJL1678,x,,,iML1515_v1
b3998,P68739,nfi,Endonuclease V,REP-4xpu,4xpu-A_clean.pdb,Protein Data Bank,24672.2982,1.07E-08,18,Cytosol,Heinemann 2016,x,,,iML1515_v1
b3999,P32680,yjaG,Uncharacterized protein YjaG,REP-3_194_2q9r.1.A_59cb2b7bafa358bbf1141543,b3999_3_194_2q9r_clean.pdb,SWISS-MODEL,22612.4048,1.12E-07,188,Cytosol,EchoLOCATION predicted,x,,,iML1515_v1
b4000,P0ACF0,hupA,DNA-binding protein HU-alpha,REP-1mul,1mul-A_clean.pdb,Protein Data Bank,9534.8632,9.91E-05,167070,Cytosol,EchoLOCATION predicted,x,,,iML1515_v1
b4001,P32681,yjaH,Uncharacterized protein YjaH,REP-E03766,E03766_clean-X_clean.pdb,metaTASSER,26317.1421,,,Outer_Membrane,EchoLOCATION predicted,,,,iML1515_v1
